A(deg)				B(deg)				C(deg)				A( , )				B( , )				C( , )
32.95439703444288		20.642625582900163		126.40297738265697		( 0.8846110970071314 , 0.5216170494516648 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
30.859362905477305		21.40627314432642		127.73436395019628		( 0.9354715272842321 , -0.5627364511628293 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
22.513277580279023		27.16485517501965		130.32186724470134		( 1.2715542753006852 , 0.9090819889324345 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
46.68334444794919		31.514774660084846		101.80188089196596		( 0.6469414005156113 , 0.7032534805773865 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
1.7492043908989934		64.73983757792512		113.51095803117613		( 12.319276508967372 , 27.168264457185153 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
51.452558560196145		88.44424545532253		40.10319598448133		( -0.4776382911858092 , 0.8233410906474674 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
64.2389239307684		105.15458691976805		10.606489149463489		( -0.5534284694692077 , 0.19726726884460755 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
39.351422677530174		53.21517834076198		87.43339898170785		( 0.4434382758917222 , -1.2618167291056852 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
93.56171354593363		35.27392169874586		51.16436475532051		( 0.13716433603704495 , 0.45070224427818045 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
29.588468696806203		83.12858371818488		67.28294758500891		( -0.27649341074629896 , -1.854716544818869 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
72.65802349907202		14.807168424964809		92.5348080759632		( 0.511841036370848 , 0.267475369326979 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
16.96600322817031		162.10802503727177		0.9259717345583384		( -0.5527030973029162 , 0.01701448511406925 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
33.45102571309685		21.88261436325966		124.6663599236435		( 0.8845878901397299 , -0.5561127933626406 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
5.800795985454682		127.59515069832997		46.60405331621537		( -4.886033752462118 , -5.696378171324498 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
66.9544989797988		94.05636798307874		18.989133037122464		( -0.5250135284058803 , -0.3527230182096739 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
62.61761105606261		69.0946337171879		48.287755226749496		( -0.2000205357612452 , 0.7853478458503175 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
68.47552601440627		32.686902879045284		78.83757110654847		( 0.3876138401919195 , -0.5695514779257801 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
87.95483863202698		55.82290820437803		36.222253163595006		( -0.16783808142427753 , -0.4891820238107355 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
28.05045317757711		4.048115721619588		147.9014311008033		( 0.6271726902876638 , 0.07977085190926478 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
103.67809561580171		61.70543463412616		14.61646975007213		( -0.3768947787779896 , 0.22868316842453906 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
10.01387833182267		140.20182602726405		29.784295640913236		( -2.694786931073833 , -1.8285090299238815 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
6.230132549607065		119.53120787345152		54.23865957694135		( -4.18556763976297 , 6.5059478944349225 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
41.264782246721694		1.1354339201814299		137.59978383309723		( 0.5221866922247751 , -0.0202593874951872 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
11.819227294837814		67.937806769387		100.24296593577515		( 1.304600730490269 , 4.452622053795314 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
111.49677908808546		20.99211055764738		47.511110354267174		( 0.2399377903180456 , 0.2839186118032651 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
126.60372876770447		11.092811620330952		42.30345961196455		( 0.32274522343196876 , -0.16130900248552804 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
9.476211452627954		58.1223609547997		112.40142759257235		( 2.465620916458547 , -4.7686165622229115 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
28.002531437195568		125.15658402849007		26.84088453431438		( -1.0537421890415222 , -0.7862437604585939 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
163.06180311949356		15.156920878464492		1.7812760020418177		( -0.3970178797412407 , -0.027896494699141003 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
4.630594547650418		101.76582156867839		73.6035838836711		( -2.9230954084205925 , -11.633366986837489 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
136.26199543476858		33.442851844740424		10.295152720490961		( -0.2842959608190889 , -0.14246218993534882 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
11.71262260966332		92.7991014481462		75.48827594219046		( -0.7328838338207886 , 4.7631870588091925 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
105.72163426404977		24.581963183749696		49.69640255220054		( 0.22046138300512136 , 0.3295786708092287 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
95.67616886428671		19.082627071033656		65.24120406467965		( 0.3624067761607023 , 0.2983423019516711 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
100.54178168843542		53.724617445841496		25.733600865723094		( -0.23869531779973796 , 0.35604374182400045 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
7.033201397831475		77.6585074045171		95.30829119765146		( 1.2381040045920744 , -7.9440207886311835 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
7.27026319387515		3.0990958391651366		169.6306409669597		( 0.9202305611576702 , 0.07689445996498973 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
49.945752119706896		7.0469283608095665		123.00731951948357		( 0.5873106699482763 , 0.13440904712099988 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
108.00129897413248		60.562076063757665		11.436624962109894		( -0.3975314775693262 , 0.1815712195235447 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
136.7721365600557		4.974282771945779		38.253580667998456		( 0.4005837082253321 , -0.07838355965870367 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
18.242336009225024		116.94241941000809		44.815244580766944		( -1.5201729698332103 , 2.0071863407459163 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
46.08519176686325		131.55052820899144		2.364280024145289		( -0.5379833584022511 , -0.0428561613446945 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
80.83754273441104		60.507825379962256		38.654631885626706		( -0.18852020585815596 , -0.5507141572810501 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
6.384216315504792		69.71169779718514		103.90408588731003		( 2.526969046454914 , 8.188097876429755 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
31.711357248844955		39.04308217571695		109.2455605754381		( 0.894999336074925 , -1.1313860231544377 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
148.11819596693866		17.153824231855243		14.72797980120609		( -0.04006894467049972 , -0.14196636021096606 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
17.239901161081413		160.5287745414685		2.2313242974501706		( -0.6238554200035475 , 0.043789515417171604 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
24.222317150412344		109.0239438389922		46.753739010595474		( -1.0787212228462868 , -1.6784495458026267 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
53.698461369794984		29.057455690687124		97.24408293951791		( 0.5759925913683253 , -0.5978437439269213 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
36.16014777866853		97.80273785754264		46.03711436378883		( -0.6656159502716585 , 1.2085964057149439 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
99.12319096513696		73.89237550286184		6.9844335320012165		( -0.4658308309562643 , 0.11832276453571566 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
49.553879393950204		7.90702163124058		122.5390989748092		( 0.5972295512957317 , -0.15239023956176057 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
98.64928398315747		68.2240168437949		13.126699173047653		( -0.41477967238165614 , -0.2133253076836934 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
88.35566996435448		29.35768385360345		62.28664618204207		( 0.27191136878621536 , 0.43419890899524954 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
57.18923118062182		112.68169391589889		10.129074903479317		( -0.5806887171628815 , 0.1930658297889667 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
52.12315176302781		11.87679983685704		116.0000484001151		( 0.6142996822590401 , -0.23434857518711502 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
157.34776880580426		12.089946710461378		10.562284483734361		( -0.03461053190241423 , -0.09968544859834011 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
35.10328085234158		33.24764064404463		111.6490785036138		( 0.8517317786406748 , 0.8861546015344168 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
59.18721232394969		1.0235988444506032		119.78918883159993		( 0.5103337862831016 , 0.018051705432044894 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
106.50165301134028		61.265763624393486		12.232583364266244		( -0.3937631894745494 , 0.1937705379944621 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
142.61127319882826		28.40590651365746		8.982820287514283		( -0.27382284778351856 , 0.12232366443644452 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
152.752027267594		24.93805409290205		2.309918639503974		( -0.4201757796593839 , -0.03711762948128414 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
112.62320830470642		25.3414926957353		42.03529899955827		( 0.1556013127975244 , -0.3104823814223833 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
61.273941515829826		111.2043855627429		7.521672921427287		( -0.5539912665823848 , -0.13916619987166068 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
0.48856096242178076		90.47614637969372		89.03529265788507		( -1.4744519409985462 , 117.25532452488687 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
23.975811578528052		42.130457903995506		113.89373051747648		( 1.1686593503244918 , -1.5093614575658068 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
114.9802211700146		2.6764896124909883		62.34328921749436		( 0.4760878173215243 , 0.045629728275098584 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
117.63068849446846		19.895390952907157		42.473920552624406		( 0.21668663209146105 , -0.2593717336715028 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
35.84299829531959		106.36658098805344		37.79042071662699		( -0.7948750664683802 , 1.004061355632846 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
92.89676141678326		5.468008437668181		81.63523014554855		( 0.48611998598081835 , 0.09439687159190993 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
1.6600819612597113		147.20165573164044		31.13826230710003		( -15.504200197340284 , 9.668933526175772 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
45.9881555390232		133.32214473416147		0.68969972681591		( -0.5114833001504079 , 0.012176349797651476 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
105.13151999102766		33.586751237870295		41.28172877110204		( 0.06935422668211212 , 0.37808830303577 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
63.67559949225745		10.60246073663615		105.72193977110642		( 0.5556250072017686 , 0.19760177551987915 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
68.9762589031409		87.67980966493653		23.34393143192256		( -0.482814249507968 , -0.4241603209663847 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
30.073878624976853		93.56475798425764		56.36136339076551		( -0.6032994287682559 , -1.6581721680299388 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
102.20491551036483		27.155568377556904		50.639516112078276		( 0.20385361070646718 , 0.36104190752140713 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
97.0682919784214		11.05233791251823		71.87937010906037		( 0.43991938087799465 , -0.18359300602910877 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
12.172707837675611		119.4377816686887		48.3895104936357		( -2.2427111640621655 , 3.0880510372888867 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
132.4242740298531		0.4638039193829874		47.111922050764335		( 0.4925368412122961 , 0.008034667409909782 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
109.79055331454245		27.767180331238368		42.442266354219186		( 0.13461976136364165 , 0.33413261426056223 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
141.45144430575084		30.84191340003567		7.706642294213485		( -0.31524179990245665 , 0.11032125603404097 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
49.10971653069661		51.41076370189343		79.47951976740997		( 0.3112122219360362 , -1.0165796272666907 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
81.26461451443386		79.40357568409382		19.33180980147235		( -0.43841094378506923 , -0.32921183773857887 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
75.46972859761361		34.12385304582746		70.40641835655893		( 0.30566043833531586 , 0.5459624207129163 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
91.43653040048437		26.842144263487743		61.72132533602789		( 0.28601380462739334 , 0.3977700941686848 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
135.94376438266633		32.83799772587926		11.218237891454418		( -0.2649297001571629 , -0.1517132070611857 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
3.559267535878773		127.53637763884744		48.904354825273636		( -7.89598778990756 , -9.625978334096834 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
20.553968931406168		102.98081104494989		56.46522002364394		( -1.0333001038423255 , -2.31351125162435 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
87.4224810080673		0.7850664205260421		91.79245257140713		( 0.5004290066054089 , 0.01370873005515306 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
112.0497729471283		47.04505863219201		20.90516842067971		( -0.23766544838294998 , 0.28176329083835444 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
95.89474150194215		68.07483724923982		16.030421248818012		( -0.39633963654631316 , -0.2575363766166595 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
118.3245260214004		7.659128171489515		54.01634580711012		( 0.41104045459623717 , 0.12251579677465607 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
60.670071749310715		97.08861156780094		22.241316682888346		( -0.5535774343092493 , 0.4308435231945813 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
77.19758134474773		43.685208815687965		59.117209839564325		( 0.13643914997778364 , 0.6078801993340657 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
11.922031317274344		153.37989222553716		14.698076457188453		( -1.5980218490533185 , -0.5503304463427824 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
138.30751830948432		27.150520049644314		14.541961640871362		( -0.164094413385613 , 0.17226548276703194 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
32.30693490602473		123.14671106668412		24.54635402729114		( -0.925013415951733 , -0.6508088584892036 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
98.32287942266603		48.45870449214961		33.21841608518437		( -0.13283282656997975 , 0.41440476648705166 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
130.3638463740459		30.991920281193032		18.64423334476109		( -0.14032699655973446 , -0.2160443173731902 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
46.52089748145678		93.03729159160072		40.44181092694251		( -0.5473669506255541 , 0.8926978630553464 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
28.4188196848328		6.433415228242557		145.1477650869247		( 0.69320792710621 , -0.1345444007480144 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
114.03727251732487		24.41564271775401		41.54708476492113		( 0.16126739472020735 , 0.3001819072492411 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
17.446183164676707		14.682665320720801		147.87115151460245		( 1.2159476308871326 , 0.44961559175391863 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
54.307697428668675		1.243576324900466		124.44872624643075		( 0.5151159376278109 , -0.02203604565329672 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
21.712321210014114		74.41766601080425		83.87001277918166		( 0.22196077697001487 , 2.5888544505544715 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
24.16123055249463		49.541749607867715		106.29701983963767		( 1.0216526230126184 , -1.7842573519898657 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
121.24920734549815		58.21837803458903		0.5324146199134073		( -0.494275394958883 , 0.009239458790714639 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
37.748946925529175		110.39256986097018		31.858483213500676		( -0.800423670295968 , 0.8081356612797297 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
35.02998982784673		49.29382608104604		95.67618409110723		( 0.6306211054655545 , 1.3141818344153697 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
31.26076774853822		10.40984251509988		138.32938973636192		( 0.7600914535654206 , 0.231493821585492 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
88.35220642443488		82.9073978173468		8.7403957582183		( -0.4812295106034829 , 0.15085729506637335 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
61.424217005143454		101.21667237925581		17.359110615600724		( -0.5660872762398913 , -0.3332561517156529 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
41.29982116125503		90.89619907058818		47.803979768156786		( -0.5175570552879316 , -1.122365735501365 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
28.408067584378145		57.24756873727263		94.34436367834923		( 0.6339104837604891 , 1.762696887735009 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
5.605267327260388		103.90686507875915		70.48786759398043		( -2.8193547123751403 , 9.367264375170278 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
101.85078975018115		73.0732373214525		5.075972928366352		( -0.4736791087847896 , 0.08648699470476129 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
84.02126632069438		39.54412072227889		56.43461295702675		( 0.14606621612044451 , -0.5334119944738269 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
4.935259952933576		24.367423742715875		150.6973163043506		( 4.682196574847717 , -2.3471968480124956 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
61.61955608917696		104.58884678012897		13.791597130694093		( -0.5682489485142804 , 0.26222099520620934 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
13.831976272963388		87.54963357068654		78.61839015634999		( -0.3246864733226659 , -4.096775211018609 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
51.85397244180701		109.60319445515363		18.542833103039367		( -0.6356682771319476 , 0.38093357692471663 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
155.81267619481596		1.1877844629324168		22.999539342251595		( 0.45342820232423625 , 0.019768113357850357 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
68.11154356613483		70.99011935281582		40.898337081049355		( -0.27016946666177255 , 0.6671025952711862 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
52.85412324915928		76.76151290979236		50.38436384104838		( -0.27868368527133597 , 0.9407440425377946 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
124.61765133820396		14.794816214412348		40.587532447383715		( 0.26436030087711415 , 0.20187872213329228 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
114.61725624459545		16.7656380400218		48.61710571538272		( 0.29023914730809164 , -0.23807022832726726 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
43.74934515156544		98.48906268349316		37.7615921649414		( -0.6307286713953615 , 0.8758696592877193 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
2.213953328350476		111.2277392938005		66.55830737784889		( -9.099071605575565 , 22.137934546891753 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
79.25127531196206		100.20048200008415		0.5482426879534693		( -0.5017247754589903 , 0.009585436305929562 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
62.97560355521854		84.18282915787216		32.841567286909324		( -0.4382964541855681 , 0.605654692422096 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
17.384995368990886		115.47198301595084		47.143021615058316		( -1.5551333641270875 , -2.214919753801122 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
97.69106432283685		34.83145687927909		47.47747879788408		( 0.11045719390251996 , -0.4247760467583418 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
14.848619989468494		74.82414639884716		90.32723361168433		( 0.5215092956406152 , 3.7660509699485374 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
111.58015049779148		0.9350487282356272		67.48480077397302		( 0.49327995891307197 , 0.016211449295432567 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
68.71139391528223		55.96582399739743		55.32278208732034		( -0.006022431443667193 , 0.7314104092936183 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
109.48236399772419		17.716941698225522		52.800694304050275		( 0.3048405014129772 , -0.25711961398141187 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
58.712119227730625		25.97371192389278		95.31416884837662		( 0.5474652819563622 , -0.5102881707534579 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
41.979816251370025		82.80539725347732		55.21478649515265		( -0.34621948366480965 , -1.2182210066817403 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
120.02593584740312		18.47540431021053		41.498659842386346		( 0.22586346487473014 , -0.24252408770348893 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
10.273482741194181		157.5593879651258		12.16712929367992		( -1.5922764677963623 , -0.4511098858560758 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
39.84049919637803		101.13667945510379		39.02282134851819		( -0.6898268946595828 , 0.9642877632363325 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
40.92027587896016		103.45331790501847		35.6264062160214		( -0.7068979259556736 , -0.8648956553785432 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
27.23644012185852		24.229145792435556		128.53441408570595		( 1.0586304223646958 , 0.7014295027314483 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
22.183070648385524		156.71865248315092		1.0982768684633717		( -0.5466318899846776 , -0.02006487060933279 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
63.22459100492396		2.4043024276089784		114.37110656746707		( 0.519389724405204 , -0.042801770516151985 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
47.88541316688348		36.15654883648006		95.95803799663646		( 0.5825572213648736 , -0.7910520733847463 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
123.49269910524616		29.828109768508657		26.679191126245172		( -0.03293418691754831 , -0.2677955030709592 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
163.92645908913687		0.86726211911361		15.206278791749638		( 0.4472459760005769 , -0.014339159107611483 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
40.983986902977854		51.820740854479205		87.19527224254296		( 0.4413512845184871 , 1.1971355685116836 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
6.603972357163614		135.85964444098263		37.536383201853766		( -4.3018056293979745 , 3.6894019193787413 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
19.05708282661806		154.51681793044105		6.426099242940808		( -0.8094328764940194 , -0.1474804356870838 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
72.4948794993802		81.96465226683014		25.54046823378966		( -0.4368058196796271 , 0.44764593193522506 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
36.204699377377175		36.008270293614316		107.78703032900852		( 0.804047287739425 , -0.9477334349374625 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
62.944194398283		21.401098628937838		95.65470697277917		( 0.5403724027683552 , -0.4077404990646418 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
21.44339193580299		9.791816213194828		148.76479185100217		( 0.8977675157327304 , 0.24123077252622696 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
